Epoch,tr_loss,tr_pos,tr_neg,val_seen_acc,val_unseen_acc,val_joint_acc,harmonic_mean_acc
1,0.13956159198035797,23.17948717948718,1380.8461538461538,0.4429615342617035,0.7520000410079956,0.5581243214011192,0.5575193358909208
2,0.07853919172134155,19.28205128205128,756.5384615384615,0.49757692754268645,0.7503333780169487,0.5432486164569855,0.5983580313474011
3,0.06538916250260976,16.41025641025641,640.8461538461538,0.5031923094391823,0.781000044643879,0.5743361839652061,0.6120472760750283
4,0.05650238931561128,15.41025641025641,585.1538461538462,0.5397692406177521,0.7763333791494369,0.5699972042441368,0.6367905849223686
5,0.052413973646859326,14.153846153846153,539.6666666666666,0.5625000035762787,0.7866667133569717,0.5911384493112564,0.6559604880892248
6,0.04649628557933447,12.256410256410257,512.3846153846154,0.554269232749939,0.7750000458955765,0.5824354416131974,0.6463079945056968
7,0.04236465460883501,10.948717948717949,486.3076923076923,0.6074615389108657,0.772666711807251,0.5987344947457314,0.6801763670519868
8,0.03874219431040379,10.435897435897436,450.61538461538464,0.6266538447141647,0.7850000464916229,0.6225173699855805,0.6969460436433028
9,0.03466418562218165,9.794871794871796,426.1794871794872,0.6008076936006546,0.7716667073965072,0.6108277121186256,0.6756021013761195
10,0.03464500348155315,9.205128205128204,408.7435897435897,0.617692306637764,0.7883333814144134,0.6257373225688935,0.6926579918180651
11,0.03168346427189998,8.897435897435898,389.94871794871796,0.6322307682037354,0.7750000435113907,0.6049548330903053,0.6963731447436843
12,0.030811123836498994,8.64102564102564,388.05128205128204,0.6601923048496247,0.7916667121648788,0.6328361901640892,0.7199766165334698
13,0.028286229795179307,7.9743589743589745,356.8205128205128,0.6539615333080292,0.7950000452995301,0.6142655631899834,0.7176166107919199
14,0.025810346473008394,7.230769230769231,337.20512820512823,0.671269229054451,0.7793333786725998,0.6369265872240066,0.7212761282673669
15,0.02470957310512089,6.769230769230769,324.87179487179486,0.6776538437604904,0.7916667097806931,0.6343559592962265,0.7302368262216927
16,0.022894401419669006,6.128205128205129,315.53846153846155,0.6553846144676209,0.776000044643879,0.615412459075451,0.7106105082912848
17,0.021551687604723833,6.487179487179487,298.15384615384613,0.6776153790950775,0.8023333784937858,0.6402344980835915,0.7347192713813352
18,0.021870322346400756,5.435897435897436,297.8974358974359,0.6556923031806946,0.7876667109131813,0.6144243425130844,0.7156459269998853
19,0.02189654300514704,5.897435897435898,309.97435897435895,0.6753846114873886,0.8010000437498093,0.6074943813681603,0.7328484503415964
20,0.01929386281288969,5.589743589743589,271.2307692307692,0.6796538424491883,0.8006667134165764,0.6363277158141136,0.7352140131249856
21,0.0187064829425743,5.923076923076923,267.4102564102564,0.6978076869249343,0.801000047326088,0.6428898665308952,0.7458514891247121
22,0.01880863840238024,5.256410256410256,266.8205128205128,0.6904230743646622,0.7953333777189254,0.6186327996850014,0.7391743310546817
23,0.01783226314597787,5.282051282051282,261.2307692307692,0.6910769188404083,0.7940000468492507,0.6277881649136543,0.7389719436943804
24,0.016773244610820442,4.564102564102564,251.4102564102564,0.696461534500122,0.8006667113304138,0.6470480543375016,0.7449376069810205
25,0.015982752247976188,4.641025641025641,236.84615384615384,0.7090384608507156,0.7916667085886001,0.6428284937143326,0.7480778449962038
26,0.015939903141071018,4.384615384615385,234.25641025641025,0.6942307674884796,0.7750000429153442,0.6313955137133598,0.7323953061518561
27,0.014057227780517096,3.923076923076923,228.56410256410257,0.7017692279815674,0.7983333790302276,0.6388051176071167,0.7469433043516519
28,0.0145266927832451,4.230769230769231,232.7948717948718,0.7047692281007767,0.7963333815336228,0.6307655671238899,0.7477586928598081
29,0.01374550012107461,3.6666666666666665,217.51282051282053,0.6942307657003403,0.7826667076349259,0.6052344933152198,0.7358009848882913
30,0.012815335714735854,3.7948717948717947,211.10256410256412,0.6912692254781723,0.7860000443458557,0.6210565283894539,0.7355972983117574
31,0.012553178221703721,3.58974358974359,203.89743589743588,0.6748846131563186,0.7640000450611114,0.6206073769927025,0.7166827054800162
32,0.011978852801406994,3.41025641025641,196.23076923076923,0.682961533665657,0.7943333774805069,0.6256243255734444,0.7344493474292261
33,0.012017377440292293,3.2051282051282053,202.30769230769232,0.6678076893091202,0.7890000450611114,0.6141356244683266,0.7233628495044035
34,0.011165955235274175,2.9743589743589745,190.17948717948718,0.6963846123218537,0.7693333756923676,0.6342327412962914,0.7310436645505564
35,0.011479314577837404,3.5641025641025643,188.02564102564102,0.7023461496829987,0.7980000466108322,0.6431921201944352,0.7471239125589219
36,0.010538654772039408,3.1025641025641026,182.2051282051282,0.6993846106529236,0.7806667113304138,0.6288757392764092,0.7377937181554931
37,0.010347528174185218,3.051282051282051,172.43589743589743,0.7113076889514923,0.7816667097806931,0.6259322330355644,0.7448293036191035
38,0.010374163480427785,2.769230769230769,177.0,0.7139999985694885,0.7846667128801346,0.6177090680599213,0.7476672799811821
39,0.009553562509469114,2.7435897435897436,169.02564102564102,0.7020769214630127,0.8000000432133675,0.6282938161492347,0.7478465893796954
40,0.009478277282025188,2.6153846153846154,162.76923076923077,0.7114999961853027,0.8050000470876694,0.6328433018922806,0.7553676413960354
41,0.009460963529701799,2.6923076923076925,164.30769230769232,0.7143461501598358,0.7726667106151581,0.6381469255685807,0.742362765843113
42,0.009084127998600403,2.2564102564102564,160.02564102564102,0.7087307649850846,0.7710000461339951,0.6262316682934761,0.7385552134132164
43,0.008232171524865314,1.794871794871795,147.07692307692307,0.715076921582222,0.8033333790302276,0.632036754488945,0.7566402301795206
44,0.009281891863793135,2.5128205128205128,152.66666666666666,0.6787307679653167,0.76000004529953,0.6083587890863419,0.717070086556725
45,0.009864184080073848,2.948717948717949,163.35897435897436,0.7025769180059434,0.7743333804607392,0.6297062480449677,0.7367119865275994
46,0.009793932710845884,2.769230769230769,160.87179487179486,0.7094615334272385,0.8086667108535767,0.6107853403687478,0.7558227401078728
47,0.009315141891606916,2.871794871794872,159.12820512820514,0.717653841972351,0.785333378314972,0.6340650045871734,0.7499698048917857
48,0.00894495001874673,2.4615384615384617,146.46153846153845,0.716769227385521,0.7820000451803207,0.6090459090471267,0.7479651183931212
49,0.008287321131389875,2.3333333333333335,142.69230769230768,0.7073846125602722,0.7730000445246696,0.6300734797120094,0.7387381845498034
50,0.007915748587737862,1.6666666666666667,136.02564102564102,0.7164999955892563,0.7740000432729721,0.6365627646446228,0.7441409099385196
